# D-GAUSS F/1.2 19deg HFOV
#
# Focal length (mm)  
100
#    radius	 axpos	N	aperture
97.000000	12.60000	1.613000	84.000000
456.30000	1.300000	1.000000	84.000000
54.500000	24.00000	1.613000	76.000000
0.0000000	4.000000	1.560000	76.000000
33.300000	15.00000	1.000000	54.000000
0.0000000	10.10000	0.000000	49.600000
-46.20000	5.400000	1.654000	52.000000
63.90000	26.20000	1.623000	60.000000
-63.90000	0.600000	1.000000	60.000000
97.00000	9.100000	1.623000	60.000000
0.000000	0.600000	0.000000	60.000000
142.30000	2.900000	1.620000	68.000000
97.00000	24.00000	1.639000	68.000000
-310.30000	0.000000	1.000000	68.000000
