# D-GAUSS F/2 22deg HFOV
# US patent 2,673,491 Tronnier
# Moden Lens Design, p.325
#
# Focal length (mm)  
100
#    radius	 axpos	N	aperture
58.950000	7.520000	1.670000	50.400000
169.660000	0.240000	1.000000	50.400000
38.550000	8.050000	1.670000	46.000000
81.540000	6.550000	1.699000	46.000000
25.500000	11.410000	1.000000	38.000000
0.000000	9.000000	0.000000	34.100000
-28.990000	2.360000	1.603000	34.000000
81.540000	12.130000	1.658000	40.000000
-40.770000	0.380000	1.000000	40.000000
874.130000	6.440000	1.717000	40.000000
-79.460000	0.000000	1.000000	40.000000
