# Endoscope lens from CodeV		
#    focal length (in mm)     
1					
#    radius	 axpos	N	aperture
411.22092	11.79068	1.88815	1.732432044
20.69846	15.51432	1	1.762483851
217.34018	28.5496	1.81078	3.018343138
100000	1.06934	1	4.116921002
0	0	0	4.116921002
100000	9.3091	1.51965	4.191611657
100000	0.79502	1	4.618893886
100000	31.34106	1.81078	4.674424001
-45.36694	3.41376	1	5.866633733
86.32698	31.03118	1.72341	5.723231581
-36.02736	9.3091	1.93429	4.231484603
-245.82628	25.60066	1	3.941441495
100000	42.418	1.51825	2.042721569
100000	0.041493415	1	0.023644911
100000	0	1	0.026718539
