# Name: fisheye.87deg.6.0mm
# Description: multi element lens
# units are mm
# Focal length 
6.000

# Each row is a surface.
# They are ordered from the image to the sensor.
# Zero is the position of the first lens surface.
# Positive is towards the sensor (right).
# Negative is towards the scene (left).
# radius 	 axpos 	 N 	 aperture
25.076400	0.784800	1.713000	19.200000
4.093800	3.451800	1.000000	8.160000
20.568000	0.588600	1.620000	9.000000
4.704000	1.297200	1.000000	7.920000
5.763000	2.076000	1.669000	7.680000
-16.071600	0.259200	1.000000	7.680000
-9.520800	0.370800	1.694000	6.960000
4.693800	1.482600	1.668000	6.480000
-20.813400	0.185400	1.000000	6.480000
6000.000000	0.556200	1.518000	6.000000
6000.000000	0.511800	1.000000	6.000000
0.000000	0.600000	0.000000	6.000000
-317.142000	1.260600	1.497000	5.340000
-6.828000	0.037200	1.000000	6.000000
39.673200	1.853400	1.487000	6.240000
-3.810000	0.370800	1.805000	6.240000
-7.649400	0.000000	1.000000	6.720000
