# 11-element retrofocus lens F/2.8 37 HFOV
# US patent 4,203,653, MORI
# Reversed Telephoto (Retrofocus and Fish-Eye) Lenses, p.404
#
# Focal length (mm)
100
#    radius	 axpos	N	aperture
126.010000	6.967	1.670	104.8
52.2540000	57.332	1.000	84
82.1170000	9.356	1.603	60.2
-168.81600	29.960	1.000	59.6
-56.038000	11.148	1.785	42.8
226.239000	2.588	1.000	46.0
-208.84200	7.266	1.804	46.0
-64.382000	0.398	1.000	47.6
-1740.0990	8.659	1.729	51.0
-83.502000	129.306	1.000	54.0
0.00000000	0.011	1.000	160.0
