# 11-element retrofocus lens F/2 42 HFOV
# US patent 4163603, T.TSUNASHIMA
# Reversed Telephoto (Retrofocus and Fish-Eye) Lenses, p.406
#
# Focal length (mm)
100.2
#    radius	 axpos	N	aperture
346.939000	16.610	1.670	176
1632.65300	0.780	1.000	166
193.878000	15.840	1.773	138
60.9430000	13.270	1.000	96
120.408000	5.140	1.697	96
60.3100000	14.650	1.000	84
239.559000	27.710	1.668	80
-2487.8450	0.410	1.000	88
152.959000	4.370	1.697	88
91.0730000	8.490	1.000	88
121.633000	29.390	1.749	88.4
-906.75900	5.000	1.000	90.6
0.000000	5.490	1.000	87.2
-1791.4610	15.840	1.564	97.8
-90.808000	18.610	1.000	94
-112.05700	9.510	1.743	91.4
-91.073000	3.180	1.805	85
220.816000	5.550	1.000	85
-676.04500	13.470	1.743	92
-87.347000	0.410	1.000	92
808.163000	14.650	1.697	110
-190.85700	157.794	1.000	110
