# Wide-angle (40-degree) lens. Angulon.			
# MLD, p. 417  
# EFL is 100 mm
# BFL is: 23.09 mm
100
#    radius	 axpos	N	aperture
138.1980000	3.4000	1.5040000	143.0000
73.801000	17.8000	1.000000	116.0000
162.2850000	3.40000	1.4870000	116.00000
73.540000	56.20000	1.000	108.00000
76.583000	40.1000	1.720000	78.00000
33.620000	18.20000	1.607000	48.00000
-267.23700	3.2000	1.0	48.00000
0.000	3.2000	1.0	37.6000000
-346.380000	3.9000	1.5690000	44.000000
41.93000	34.3000	1.623000	44.000000
-31.48000	19.600000	1.7220000	50.000000
-76.35900	69.600000	1.0000	70.000000
-55.279000	12.500000	1.6420000	100.000000
-93.624000	0.00000	1.0000	122.000000
