# Name: wide.40deg.50mm
# Description: multi element lens
# Focal length (mm) 
50.000
# Each row is a surface.
# The order of surfaces starts from the image and
# heads to the sensor.  Zero is the position of the first lens surface.
# Positive numbers are towards the lens, and negative numbers are towards
# the image
#    radius	 axpos	N	aperture
69.099000	1.700000	1.504000	71.500000
36.900500	8.900000	1.000000	58.000000
81.142500	1.700000	1.487000	58.000000
36.770000	28.100000	1.000000	54.000000
38.291500	20.050000	1.720000	39.000000
16.810000	9.100000	1.607000	24.000000
-133.618500	1.600000	1.000000	24.000000
0.000000	1.600000	1.000000	18.800000
-173.190000	1.950000	1.569000	22.000000
20.965000	17.150000	1.623000	22.000000
-15.740000	9.800000	1.722000	25.000000
-38.179500	34.800000	1.000000	35.000000
-27.639500	6.250000	1.642000	50.000000
-46.812000	0.000000	1.000000	61.000000
