# Wide-angle (56-degree) lens. Roossinov.			
# MLD, p. 420"  
# EFL is 100 mm
# BFL is: 52.78 mm
100
#    radius	 axpos	N	aperture
50.610000	3.080000	1.639000	87.600000
32.470000	50.920000	1.000000	64.400000
68.060000	13.160000	1.613000	36.000000
-35.120000	4.390000	1.548000	36.000000
188.790000	0.350000	1.000000	18.000000
0.000000	0.350000	0.000000	14.500000
-185.390000	4.320000	1.548000	18.000000
34.490000	12.940000	1.613000	36.000000
-66.830000	50.000000	1.000000	36.000000
-31.870000	3.020000	1.626000	62.600000
-49.440000	0.000000	1.000000	84.000000
