Wavelength	Peakedness
3.99E+02	6.09E-02
4.07E+02	6.10E-02
4.12E+02	6.09E-02
4.19E+02	6.08E-02
4.24E+02	6.06E-02
4.31E+02	6.03E-02
4.37E+02	6.00E-02
4.42E+02	5.96E-02
4.48E+02	5.90E-02
4.53E+02	5.85E-02
4.57E+02	5.79E-02
4.63E+02	5.74E-02
4.67E+02	5.68E-02
4.72E+02	5.61E-02
4.75E+02	5.54E-02
4.80E+02	5.46E-02
4.84E+02	5.40E-02
4.88E+02	5.29E-02
4.93E+02	5.18E-02
4.98E+02	5.10E-02
5.03E+02	4.99E-02
5.07E+02	4.91E-02
5.10E+02	4.83E-02
5.15E+02	4.73E-02
5.20E+02	4.62E-02
5.27E+02	4.53E-02
5.34E+02	4.45E-02
5.41E+02	4.38E-02
5.53E+02	4.36E-02
5.61E+02	4.42E-02
5.68E+02	4.51E-02
5.74E+02	4.61E-02
5.78E+02	4.67E-02
5.84E+02	4.79E-02
5.91E+02	4.89E-02
5.98E+02	4.94E-02
6.03E+02	5.00E-02
6.11E+02	5.09E-02
6.16E+02	5.17E-02
6.24E+02	5.26E-02
6.30E+02	5.35E-02
6.41E+02	5.41E-02
6.48E+02	5.47E-02
6.63E+02	5.47E-02
6.72E+02	5.42E-02
6.80E+02	5.36E-02
6.91E+02	5.28E-02
7.03E+02	5.20E-02
7.15E+02	5.12E-02
7.27E+02	5.07E-02
7.39E+02	5.04E-02
7.50E+02	5.06E-02
4.86E+02	3.39E-02
