Wavelength	Peakedness
4.00E+02	6.08E-02
4.03E+02	6.17E-02
4.06E+02	6.27E-02
4.10E+02	6.36E-02
4.13E+02	6.46E-02
4.15E+02	6.51E-02
4.18E+02	6.58E-02
4.19E+02	6.50E-02
4.20E+02	6.46E-02
4.25E+02	6.45E-02
4.33E+02	6.41E-02
4.35E+02	6.38E-02
4.38E+02	6.36E-02
4.40E+02	6.42E-02
4.42E+02	6.30E-02
4.47E+02	6.19E-02
4.49E+02	6.18E-02
4.54E+02	6.09E-02
4.60E+02	5.99E-02
4.64E+02	5.99E-02
4.68E+02	5.96E-02
4.69E+02	5.88E-02
4.77E+02	5.77E-02
4.79E+02	5.65E-02
4.81E+02	5.59E-02
4.87E+02	5.53E-02
4.93E+02	5.53E-02
4.99E+02	5.50E-02
5.02E+02	5.27E-02
5.07E+02	5.19E-02
5.12E+02	4.93E-02
5.20E+02	4.64E-02
5.27E+02	4.69E-02
5.35E+02	4.41E-02
5.40E+02	4.32E-02
5.50E+02	4.60E-02
5.61E+02	4.48E-02
5.70E+02	4.55E-02
5.75E+02	4.64E-02
5.81E+02	4.67E-02
5.86E+02	4.66E-02
5.91E+02	4.65E-02
5.99E+02	4.75E-02
6.01E+02	4.65E-02
6.08E+02	4.89E-02
6.19E+02	5.16E-02
6.21E+02	5.07E-02
6.29E+02	5.17E-02
6.41E+02	5.23E-02
6.48E+02	5.31E-02
6.53E+02	5.30E-02
6.58E+02	5.31E-02
6.59E+02	5.41E-02
6.68E+02	5.43E-02
6.79E+02	5.45E-02
6.86E+02	5.44E-02
6.89E+02	5.36E-02
6.90E+02	5.28E-02
6.96E+02	5.25E-02
7.00E+02	5.32E-02
7.11E+02	5.09E-02
7.20E+02	4.91E-02
7.21E+02	4.96E-02
7.33E+02	5.04E-02
7.49E+02	5.25E-02
7.50E+02	5.26E-02
