Wavelength	Peakedness
3.99E+02	6.09E-02
4.03E+02	6.09E-02
4.09E+02	6.09E-02
4.17E+02	6.08E-02
4.25E+02	6.05E-02
4.31E+02	6.02E-02
4.39E+02	5.98E-02
4.44E+02	5.93E-02
4.52E+02	5.86E-02
4.63E+02	5.73E-02
4.71E+02	5.62E-02
4.76E+02	5.52E-02
4.81E+02	5.45E-02
4.86E+02	5.34E-02
4.92E+02	5.22E-02
4.97E+02	5.11E-02
5.04E+02	4.98E-02
5.09E+02	4.85E-02
5.15E+02	4.71E-02
5.23E+02	4.58E-02
5.30E+02	4.49E-02
5.40E+02	4.39E-02
5.48E+02	4.35E-02
5.55E+02	4.37E-02
5.63E+02	4.44E-02
5.76E+02	4.64E-02
5.80E+02	4.78E-02
5.88E+02	4.95E-02
5.98E+02	5.14E-02
6.08E+02	5.35E-02
6.17E+02	5.54E-02
6.25E+02	5.72E-02
6.35E+02	5.89E-02
6.41E+02	5.99E-02
6.48E+02	6.06E-02
6.58E+02	6.15E-02
6.68E+02	6.20E-02
6.80E+02	6.23E-02
6.92E+02	6.25E-02
7.07E+02	6.26E-02
7.20E+02	6.27E-02
7.33E+02	6.26E-02
7.41E+02	6.26E-02
7.47E+02	6.27E-02
7.49E+02	6.27E-02
7.50E+02	6.26E-02
