lambda	R_lambda	A_lambda
305	0	6
310	0	6
315	0	6
320	0	6
325	0	6
330	0	6
335	0	6
340	0	5.88
345	0	5.71
350	0	5.46
355	0	5.22
360	0	4.62
365	0	4.29
370	0	3.75
375	0	3.56
380	0.00625	3.19
385	0.0125	2.31
390	0.025	1.88
395	0.05	1.58
400	0.1	1.43
405	0.2	1.3
410	0.4	1.25
415	0.8	1.2
420	0.9	1.15
425	0.95	1.11
430	0.98	1.07
435	1	1.03
440	1	1
445	1	0.97
450	1	0.94
455	1	0.9
460	1	0.8
465	1	0.7
470	1	0.62
475	1	0.55
480	1	0.45
485	1	0.4
490	1	0.22
495	1	0.16
500	1	0.1
505	1	0.079
510	1	0.06
515	1	0.05
520	1	0.0398
525	1	0.031
530	1	0.025
535	1	0.0199
540	1	0.0158
545	1	0.0126
550	1	0.01
555	1	0.0079
560	1	0.0063
565	1	0.005
570	1	0.004
575	1	0.0031
580	1	0.0025
585	1	0.002
590	1	0.0016
595	1	0.0013
600	1	0.001
605	1	0.001
610	1	0.001
615	1	0.001
620	1	0.001
625	1	0.001
630	1	0.001
635	1	0.001
640	1	0.001
645	1	0.001
650	1	0.001
655	1	0.001
660	1	0.001
665	1	0.001
670	1	0.001
675	1	0.001
680	1	0.001
685	1	0.001
690	1	0.001
695	1	0.001
700	1	0.001
705	0.98	0
710	0.95	0
715	0.93	0
720	0.91	0
725	0.89	0
730	0.87	0
735	0.85	0
740	0.83	0
745	0.81	0
750	0.79	0
755	0.78	0
760	0.76	0
765	0.74	0
770	0.72	0
775	0.71	0
780	0.69	0
785	0.68	0
790	0.66	0
795	0.65	0
800	0.63	0
805	0.62	0
810	0.6	0
815	0.59	0
820	0.58	0
825	0.56	0
830	0.55	0
835	0.54	0
840	0.52	0
845	0.51	0
850	0.5	0
855	0.49	0
860	0.48	0
865	0.47	0
870	0.46	0
875	0.45	0
880	0.44	0
885	0.43	0
890	0.42	0
895	0.41	0
900	0.4	0
905	0.39	0
910	0.38	0
915	0.37	0
920	0.36	0
925	0.35	0
930	0.35	0
935	0.34	0
940	0.33	0
945	0.32	0
950	0.32	0
955	0.31	0
960	0.3	0
965	0.3	0
970	0.29	0
975	0.28	0
980	0.28	0
985	0.27	0
990	0.26	0
995	0.26	0
1000	0.25	0
1005	0.25	0
1010	0.24	0
1015	0.23	0
1020	0.23	0
1025	0.22	0
1030	0.22	0
1035	0.21	0
1040	0.21	0
1045	0.2	0
1050	0.2	0
1055	0.2	0
1060	0.2	0
1065	0.2	0
1070	0.2	0
1075	0.2	0
1080	0.2	0
1085	0.2	0
1090	0.2	0
1095	0.2	0
1100	0.2	0
1105	0.2	0
1110	0.2	0
1115	0.2	0
1120	0.2	0
1125	0.2	0
1130	0.2	0
1135	0.2	0
1140	0.2	0
1145	0.2	0
1150	0.2	0
1155	0.2	0
1160	0.2	0
1165	0.2	0
1170	0.2	0
1175	0.2	0
1180	0.2	0
1185	0.2	0
1190	0.2	0
1195	0.2	0
1200	0.2	0
1205	0.2	0
1210	0.2	0
1215	0.2	0
1220	0.2	0
1225	0.2	0
1230	0.2	0
1235	0.2	0
1240	0.2	0
1245	0.2	0
1250	0.2	0
1255	0.2	0
1260	0.2	0
1265	0.2	0
1270	0.2	0
1275	0.2	0
1280	0.2	0
1285	0.2	0
1290	0.2	0
1295	0.2	0
1300	0.2	0
1305	0.2	0
1310	0.2	0
1315	0.2	0
1320	0.2	0
1325	0.2	0
1330	0.2	0
1335	0.2	0
1340	0.2	0
1345	0.2	0
1350	0.2	0
1355	0.2	0
1360	0.2	0
1365	0.2	0
1370	0.2	0
1375	0.2	0
1380	0.2	0
1385	0.2	0
1390	0.2	0
1395	0.2	0
1400	0.2	0
